director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
Wayne Beach,LL Cool J,Drama Mystery Thriller,Mekhi Phifer,Slow Burn,Fisher Stevens,Wayne Beach LL Cool J Drama Mystery Thriller Mekhi Phifer Fisher Stevens
Gérard Krawczyk,Ryôko Hirosue,Action Comedy Crime Drama Thriller,Carole Bouquet,Wasabi,Michel Muller,Gérard Krawczyk Ryôko Hirosue Action Comedy Crime Drama Thriller Carole Bouquet Michel Muller
James Gunn,Gregg Henry,Comedy Horror Sci-Fi,Dustin Milligan,Slither,Tania Saulnier,James Gunn Gregg Henry Comedy Horror Sci-Fi Dustin Milligan Tania Saulnier
Martin Brest,Ronny Cox,Action Comedy Crime,Judge Reinhold,Beverly Hills Cop,James Russo,Martin Brest Ronny Cox Action Comedy Crime Judge Reinhold James Russo
Chris Columbus,Devin Ratray,Comedy Family,Macaulay Culkin,Home Alone,Catherine O'Hara,Chris Columbus Devin Ratray Comedy Family Macaulay Culkin Catherine O'Hara
Leonard Nimoy,Ted Danson,Comedy Drama Family,Tom Selleck,3 Men and a Baby,Steve Guttenberg,Leonard Nimoy Ted Danson Comedy Drama Family Tom Selleck Steve Guttenberg
Sydney Pollack,Sydney Pollack,Comedy Drama Romance,Bill Murray,Tootsie,Teri Garr,Sydney Pollack Sydney Pollack Comedy Drama Romance Bill Murray Teri Garr
Tony Scott,Tom Skerritt,Action Drama Romance,Tom Cruise,Top Gun,Adrian Pasdar,Tony Scott Tom Skerritt Action Drama Romance Tom Cruise Adrian Pasdar
Ang Lee,Pei-Pei Cheng,Action Drama Romance,Chen Chang,"Crouching Tiger, Hidden Dragon",Sihung Lung,Ang Lee Pei-Pei Cheng Action Drama Romance Chen Chang Sihung Lung
Sam Mendes,Peter Gallagher,Drama,Kevin Spacey,American Beauty,Ara Celi,Sam Mendes Peter Gallagher Drama Kevin Spacey Ara Celi
Tom Hooper,Jennifer Ehle,Biography Drama History Romance,Colin Firth,The King's Speech,Derek Jacobi,Tom Hooper Jennifer Ehle Biography Drama History Romance Colin Firth Derek Jacobi
Ivan Reitman,Tony Jay,Comedy Crime,Kelly Preston,Twins,Hugh O'Brian,Ivan Reitman Tony Jay Comedy Crime Kelly Preston Hugh O'Brian
Udayan Prasad,Eddie Redmayne,Drama Romance,Kristen Stewart,The Yellow Handkerchief,William Hurt,Udayan Prasad Eddie Redmayne Drama Romance Kristen Stewart William Hurt
Steven Spielberg,Rae Dawn Chong,Drama,Oprah Winfrey,The Color Purple,Dana Ivey,Steven Spielberg Rae Dawn Chong Drama Oprah Winfrey Dana Ivey
JK Youn,Ji-won Ha,Action Comedy Drama Thriller,Nicole Dionne,Tidal Wave,Kyung-gu Sol,JK Youn Ji-won Ha Action Comedy Drama Thriller Nicole Dionne Kyung-gu Sol
Timur Bekmambetov,Ayelet Zurer,Adventure Drama History,Morgan Freeman,Ben-Hur,Moises Arias,Timur Bekmambetov Ayelet Zurer Adventure Drama History Morgan Freeman Moises Arias
Morten Tyldum,Rory Kinnear,Biography Drama Thriller War,Benedict Cumberbatch,The Imitation Game,Allen Leech,Morten Tyldum Rory Kinnear Biography Drama Thriller War Benedict Cumberbatch Allen Leech
Howard Zieff,Albert Brooks,Comedy War,Eileen Brennan,Private Benjamin,Alan Oppenheimer,Howard Zieff Albert Brooks Comedy War Eileen Brennan Alan Oppenheimer
Michael Apted,Beverly D'Angelo,Biography Drama Music Musical,Sissy Spacek,Coal Miner's Daughter,Levon Helm,Michael Apted Beverly D'Angelo Biography Drama Music Musical Sissy Spacek Levon Helm
Thor Freudenthal,Zachary Gordon,Comedy Family,Chloë Grace Moretz,Diary of a Wimpy Kid,Rachael Harris,Thor Freudenthal Zachary Gordon Comedy Family Chloë Grace Moretz Rachael Harris
Andrés Muschietti,Megan Charpentier,Fantasy Horror,Javier Botet,Mama,Isabelle Nélisse,Andrés Muschietti Megan Charpentier Fantasy Horror Javier Botet Isabelle Nélisse
John Carpenter,Donald Pleasence,Horror Thriller,Jamie Lee Curtis,Halloween,P.J. Soles,John Carpenter Donald Pleasence Horror Thriller Jamie Lee Curtis P.J. Soles
Harold Ramis,Randy Quaid,Adventure Comedy,Beverly D'Angelo,National Lampoon's Vacation,Jane Krakowski,Harold Ramis Randy Quaid Adventure Comedy Beverly D'Angelo Jane Krakowski
Jeff Tremaine,Georgina Cates,Comedy,Jackson Nicoll,Bad Grandpa,Grasie Mercedes,Jeff Tremaine Georgina Cates Comedy Jackson Nicoll Grasie Mercedes
Stephen Frears,Sylvia Syms,Biography Drama,Roger Allam,The Queen,Alex Jennings,Stephen Frears Sylvia Syms Biography Drama Roger Allam Alex Jennings
Tim Burton,Jeffrey Jones,Comedy Fantasy,Catherine O'Hara,Beetlejuice,Glenn Shadix,Tim Burton Jeffrey Jones Comedy Fantasy Catherine O'Hara Glenn Shadix
Tyler Perry,Tasha Smith,Comedy Drama,Michael Jai White,Why Did I Get Married?,Lamman Rucker,Tyler Perry Tasha Smith Comedy Drama Michael Jai White Lamman Rucker
Gillian Armstrong,Kirsten Dunst,Drama Family Romance,Christian Bale,Little Women,Eric Stoltz,Gillian Armstrong Kirsten Dunst Drama Family Romance Christian Bale Eric Stoltz
James Watkins,Roger Allam,Drama Fantasy Horror Thriller,Daniel Radcliffe,The Woman in Black,Jessica Raine,James Watkins Roger Allam Drama Fantasy Horror Thriller Daniel Radcliffe Jessica Raine
Simon West,Tessa Thompson,Horror Thriller,Madeline Carroll,When a Stranger Calls,Brian Geraghty,Simon West Tessa Thompson Horror Thriller Madeline Carroll Brian Geraghty
Shawn Levy,Donald Faison,Adventure Comedy Family,Frankie Muniz,Big Fat Liar,Lee Majors,Shawn Levy Donald Faison Adventure Comedy Family Frankie Muniz Lee Majors
Michael Cimino,Meryl Streep,Drama War,Robert De Niro,The Deer Hunter,John Savage,Michael Cimino Meryl Streep Drama War Robert De Niro John Savage
Barry Levinson,Kirsten Dunst,Comedy Drama,Robert De Niro,Wag the Dog,John Michael Higgins,Barry Levinson Kirsten Dunst Comedy Drama Robert De Niro John Michael Higgins
Jim Fall,Adam Lamberg,Adventure Comedy Family Music Romance,Clayton Snyder,The Lizzie McGuire Movie,Alex Borstein,Jim Fall Adam Lamberg Adventure Comedy Family Music Romance Clayton Snyder Alex Borstein
Ric Roman Waugh,Harold Perrineau,Action Drama Thriller,Dwayne Johnson,Snitch,Nadine Velazquez,Ric Roman Waugh Harold Perrineau Action Drama Thriller Dwayne Johnson Nadine Velazquez
Michael Dougherty,Conchata Ferrell,Comedy Fantasy Horror,Adam Scott,Krampus,Allison Tolman,Michael Dougherty Conchata Ferrell Comedy Fantasy Horror Adam Scott Allison Tolman
Robert Rodriguez,Salma Hayek,Horror Mystery Sci-Fi,Jordana Brewster,The Faculty,Clea DuVall,Robert Rodriguez Salma Hayek Horror Mystery Sci-Fi Jordana Brewster Clea DuVall
Brian Gibson,Virginia Capers,Biography Drama Music,Rae'Ven Kelly,What's Love Got to Do with It,Dororthy Thorton,Brian Gibson Virginia Capers Biography Drama Music Rae'Ven Kelly Dororthy Thorton
James Mangold,Sylvester Stallone,Crime Drama Thriller,Robert De Niro,Cop Land,Janeane Garofalo,James Mangold Sylvester Stallone Crime Drama Thriller Robert De Niro Janeane Garofalo
Joel Gallen,JoAnna Garcia Swisher,Comedy,Chris Evans,Not Another Teen Movie,Mia Kirshner,Joel Gallen JoAnna Garcia Swisher Comedy Chris Evans Mia Kirshner
David Ayer,Anna Kendrick,Crime Drama Thriller,Jake Gyllenhaal,End of Watch,America Ferrera,David Ayer Anna Kendrick Crime Drama Thriller Jake Gyllenhaal America Ferrera
Cameron Crowe,Bradley Cooper,Comedy Drama Romance,Emma Stone,Aloha,Bill Murray,Cameron Crowe Bradley Cooper Comedy Drama Romance Emma Stone Bill Murray
Rob Cohen,Leslie Bibb,Action Crime Drama Thriller,Paul Walker,The Skulls,William Petersen,Rob Cohen Leslie Bibb Action Crime Drama Thriller Paul Walker William Petersen
James Marsh,Emily Watson,Biography Drama Romance,Eddie Redmayne,The Theory of Everything,Simon McBurney,James Marsh Emily Watson Biography Drama Romance Eddie Redmayne Simon McBurney
John Whitesell,Regina Hall,Comedy Crime,Greg Grunberg,Malibu's Most Wanted,Blair Underwood,John Whitesell Regina Hall Comedy Crime Greg Grunberg Blair Underwood
Matt Williams,James Frain,Comedy Drama Romance,Natalie Portman,Where the Heart Is,Stockard Channing,Matt Williams James Frain Comedy Drama Romance Natalie Portman Stockard Channing
David Lean,José Ferrer,Adventure Biography Drama History War,Claude Rains,Lawrence of Arabia,Jack Hawkins,David Lean José Ferrer Adventure Biography Drama History War Claude Rains Jack Hawkins
Rob Zombie,Tyler Mane,Horror,Scout Taylor-Compton,Halloween II,Margot Kidder,Rob Zombie Tyler Mane Horror Scout Taylor-Compton Margot Kidder
Jean-Marc Vallée,Kevin Rankin,Adventure Biography Drama,Michiel Huisman,Wild,Gaby Hoffmann,Jean-Marc Vallée Kevin Rankin Adventure Biography Drama Michiel Huisman Gaby Hoffmann
Dennis Iliadis,Monica Potter,Crime Horror Thriller,Tony Goldwyn,The Last House on the Left,Martha MacIsaac,Dennis Iliadis Monica Potter Crime Horror Thriller Tony Goldwyn Martha MacIsaac
Clare Kilner,Debra Messing,Comedy Romance,Jack Davenport,The Wedding Date,Holland Taylor,Clare Kilner Debra Messing Comedy Romance Jack Davenport Holland Taylor
Rick Rosenthal,Thomas Ian Nicholas,Comedy Horror Thriller,Jamie Lee Curtis,Halloween: Resurrection,Bianca Kajlich,Rick Rosenthal Thomas Ian Nicholas Comedy Horror Thriller Jamie Lee Curtis Bianca Kajlich
Louis Leterrier,Jason Flemyng,Action Adventure Fantasy,Liam Neeson,Clash of the Titans,Alexa Davalos,Louis Leterrier Jason Flemyng Action Adventure Fantasy Liam Neeson Alexa Davalos
Rob Reiner,Carol Kane,Adventure Family Fantasy Romance,Robin Wright,The Princess Bride,André the Giant,Rob Reiner Carol Kane Adventure Family Fantasy Romance Robin Wright André the Giant
Denzel Washington,Jurnee Smollett-Bell,Biography Drama,Denzel Washington,The Great Debaters,John Heard,Denzel Washington Jurnee Smollett-Bell Biography Drama Denzel Washington John Heard
Nicolas Winding Refn,Albert Brooks,Crime Drama,Ryan Gosling,Drive,Russ Tamblyn,Nicolas Winding Refn Albert Brooks Crime Drama Ryan Gosling Russ Tamblyn
Sara Sugarman,Carol Kane,Comedy Family Music Romance,Adam Garcia,Confessions of a Teenage Drama Queen,Glenne Headly,Sara Sugarman Carol Kane Comedy Family Music Romance Adam Garcia Glenne Headly
Nicholas Hytner,Tim Daly,Comedy Drama Romance,Liam Aiken,The Object of My Affection,Kali Rocha,Nicholas Hytner Tim Daly Comedy Drama Romance Liam Aiken Kali Rocha
Juan Carlos Fresnadillo,Harold Perrineau,Drama Horror Sci-Fi,Jeremy Renner,28 Weeks Later,Catherine McCormack,Juan Carlos Fresnadillo Harold Perrineau Drama Horror Sci-Fi Jeremy Renner Catherine McCormack
Thomas Carter,Matthew Daddario,Drama Family Sport,Jessie T. Usher,When the Game Stands Tall,Ser'Darius Blain,Thomas Carter Matthew Daddario Drama Family Sport Jessie T. Usher Ser'Darius Blain
Wayne Wang,Luke Benward,Comedy Drama Family,Cicely Tyson,Because of Winn-Dixie,Eva Marie Saint,Wayne Wang Luke Benward Comedy Drama Family Cicely Tyson Eva Marie Saint
Gina Prince-Bythewood,Sanaa Lathan,Drama Romance Sport,Alfre Woodard,Love & Basketball,Omar Epps,Gina Prince-Bythewood Sanaa Lathan Drama Romance Sport Alfre Woodard Omar Epps
George Armitage,Michael Cudlitz,Action Comedy Crime Romance Thriller,Minnie Driver,Grosse Pointe Blank,Mitchell Ryan,George Armitage Michael Cudlitz Action Comedy Crime Romance Thriller Minnie Driver Mitchell Ryan
Phil Traill,Katy Mixon,Comedy Romance,Bradley Cooper,All About Steve,Beth Grant,Phil Traill Katy Mixon Comedy Romance Bradley Cooper Beth Grant
Joe Berlinger,Erica Leerhsen,Adventure Fantasy Horror Mystery Thriller,Kim Director,Book of Shadows: Blair Witch 2,Kurt Loder,Joe Berlinger Erica Leerhsen Adventure Fantasy Horror Mystery Thriller Kim Director Kurt Loder
Andrew Fleming,Rachel True,Drama Fantasy Horror Thriller,Christine Taylor,The Craft,Brenda Strong,Andrew Fleming Rachel True Drama Fantasy Horror Thriller Christine Taylor Brenda Strong
Woody Allen,Mark Gatiss,Drama Romance Thriller,Scarlett Johansson,Match Point,Penelope Wilton,Woody Allen Mark Gatiss Drama Romance Thriller Scarlett Johansson Penelope Wilton
Elizabeth Allen Rosenbaum,Hutch Dano,Adventure Comedy Family Fantasy,Sierra McCormick,Ramona and Beezus,Jason Spevack,Elizabeth Allen Rosenbaum Hutch Dano Adventure Comedy Family Fantasy Sierra McCormick Jason Spevack
James Ivory,Peter Vaughan,Drama Romance,Anthony Hopkins,The Remains of the Day,Ben Chaplin,James Ivory Peter Vaughan Drama Romance Anthony Hopkins Ben Chaplin
Paul Thomas Anderson,Nicole Ari Parker,Drama,Don Cheadle,Boogie Nights,Nina Hartley,Paul Thomas Anderson Nicole Ari Parker Drama Don Cheadle Nina Hartley
Robert Harmon,Rosanna Arquette,Action Crime Drama Romance Thriller,Kieran Culkin,Nowhere to Run,Joss Ackland,Robert Harmon Rosanna Arquette Action Crime Drama Romance Thriller Kieran Culkin Joss Ackland
Michael Mayer,Danny Pino,Adventure Drama Family,Alison Lohman,Flicka,Tim McGraw,Michael Mayer Danny Pino Adventure Drama Family Alison Lohman Tim McGraw
Martin Weisz,Daniella Alonso,Horror,Jeff Kober,The Hills Have Eyes II,Jacob Vargas,Martin Weisz Daniella Alonso Horror Jeff Kober Jacob Vargas
John Ottman,Joey Lawrence,Horror Mystery Thriller,Loretta Devine,Urban Legends: Final Cut,Jacinda Barrett,John Ottman Joey Lawrence Horror Mystery Thriller Loretta Devine Jacinda Barrett
Jay Russell,Sissy Spacek,Drama Family Fantasy Romance,William Hurt,Tuck Everlasting,Jonathan Jackson,Jay Russell Sissy Spacek Drama Family Fantasy Romance William Hurt Jonathan Jackson
John Bonito,Firass Dirani,Action Drama Thriller,Kelly Carlson,The Marine,Drew Powell,John Bonito Firass Dirani Action Drama Thriller Kelly Carlson Drew Powell
Peter Atencio,Will Forte,Action Comedy,Nia Long,Keanu,Keegan-Michael Key,Peter Atencio Will Forte Action Comedy Nia Long Keegan-Michael Key
Shana Feste,Cinda McCain,Drama Music,Leighton Meester,Country Strong,Tim McGraw,Shana Feste Cinda McCain Drama Music Leighton Meester Tim McGraw
David Nutter,Ethan Embry,Horror Mystery Sci-Fi Thriller,Bruce Greenwood,Disturbing Behavior,Katharine Isabelle,David Nutter Ethan Embry Horror Mystery Sci-Fi Thriller Bruce Greenwood Katharine Isabelle
Derek Cianfrance,Ben Mendelsohn,Crime Drama Thriller,Ryan Gosling,The Place Beyond the Pines,Angelo Anthony Pizza,Derek Cianfrance Ben Mendelsohn Crime Drama Thriller Ryan Gosling Angelo Anthony Pizza
Roger Donaldson,Akie Kotabe,Action Crime Thriller,Luke Bracey,The November Man,Will Patton,Roger Donaldson Akie Kotabe Action Crime Thriller Luke Bracey Will Patton
Stephan Elliott,Patrick Bergin,Drama Mystery Thriller,Jason Priestley,Eye of the Beholder,Geneviève Bujold,Stephan Elliott Patrick Bergin Drama Mystery Thriller Jason Priestley Geneviève Bujold
Kathryn Bigelow,Christian Camargo,Drama History Thriller War,Jeremy Renner,The Hurt Locker,Brian Geraghty,Kathryn Bigelow Christian Camargo Drama History Thriller War Jeremy Renner Brian Geraghty
Mark L. Lester,George C. Scott,Action Horror Sci-Fi Thriller,Heather Locklear,Firestarter,David Keith,Mark L. Lester George C. Scott Action Horror Sci-Fi Thriller Heather Locklear David Keith
Andrew Dominik,Sam Shepard,Crime Thriller,Brad Pitt,Killing Them Softly,Ben Mendelsohn,Andrew Dominik Sam Shepard Crime Thriller Brad Pitt Ben Mendelsohn
Anton Corbijn,Nina Hoss,Crime Drama Thriller,Philip Seymour Hoffman,A Most Wanted Man,Homayoun Ershadi,Anton Corbijn Nina Hoss Crime Drama Thriller Philip Seymour Hoffman Homayoun Ershadi
Tom Green,Harland Williams,Comedy,Rip Torn,Freddy Got Fingered,Eddie Kaye Thomas,Tom Green Harland Williams Comedy Rip Torn Eddie Kaye Thomas
Mike Nawrocki,Cam Clarke,Adventure Animation Comedy Family,Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie,Phil Vischer,Mike Nawrocki Cam Clarke Adventure Animation Comedy Family Yuri Lowenthal Phil Vischer
Catherine Owens,The Edge,Documentary Music,Bono,U2 3D,Larry Mullen Jr.,Catherine Owens The Edge Documentary Music Bono Larry Mullen Jr.
Douglas Aarniokoski,Adrian Paul,Action Adventure Fantasy Sci-Fi,Christopher Lambert,Highlander: Endgame,Adam Copeland,Douglas Aarniokoski Adrian Paul Action Adventure Fantasy Sci-Fi Christopher Lambert Adam Copeland
Bryan Barber,Faizon Love,Crime Drama Musical Romance,Cicely Tyson,Idlewild,Bobb'e J. Thompson,Bryan Barber Faizon Love Crime Drama Musical Romance Cicely Tyson Bobb'e J. Thompson
Lone Scherfig,Jim Sturgess,Drama Romance,Anne Hathaway,One Day,Rafe Spall,Lone Scherfig Jim Sturgess Drama Romance Anne Hathaway Rafe Spall
Drew Barrymore,Jimmy Fallon,Drama Sport,Daniel Stern,Whip It,Alia Shawkat,Drew Barrymore Jimmy Fallon Drama Sport Daniel Stern Alia Shawkat
Brian Koppelman,Tom Noonan,Crime Drama Thriller,Vin Diesel,Knockaround Guys,Kevin Gage,Brian Koppelman Tom Noonan Crime Drama Thriller Vin Diesel Kevin Gage
James Foley,Brian Van Holt,Crime Thriller,Louis Lombardi,Confidence,Leland Orser,James Foley Brian Van Holt Crime Thriller Louis Lombardi Leland Orser
Albert Brooks,Bradley Whitford,Comedy,Jeff Bridges,The Muse,Albert Brooks,Albert Brooks Bradley Whitford Comedy Jeff Bridges Albert Brooks
Irwin Winkler,Keith Allen,Biography Drama Music Musical,Kevin McNally,De-Lovely,Sandra Nelson,Irwin Winkler Keith Allen Biography Drama Music Musical Kevin McNally Sandra Nelson
Woody Allen,Larry David,Comedy Drama Romance,Woody Allen,New York Stories,Mia Farrow,Woody Allen Larry David Comedy Drama Romance Woody Allen Mia Farrow
Steve Gomer,Kyla Pratt,Adventure Family,Trevor Morgan,Barney's Great Adventure,Shirley Douglas,Steve Gomer Kyla Pratt Adventure Family Trevor Morgan Shirley Douglas
RZA,RZA,Action,Rick Yune,The Man with the Iron Fists,Daniel Wu,RZA RZA Action Rick Yune Daniel Wu
Dean Parisot,Jake Busey,Comedy Drama Romance,Catherine O'Hara,Home Fries,Shelley Duvall,Dean Parisot Jake Busey Comedy Drama Romance Catherine O'Hara Shelley Duvall
Mark Piznarski,Chris Klein,Drama Romance,Bruce Greenwood,Here on Earth,Elaine Hendrix,Mark Piznarski Chris Klein Drama Romance Bruce Greenwood Elaine Hendrix
Terry Gilliam,Bob Hoskins,Drama Sci-Fi,Robert De Niro,Brazil,Jim Broadbent,Terry Gilliam Bob Hoskins Drama Sci-Fi Robert De Niro Jim Broadbent
Sean McNamara,Rebecca De Mornay,Family Music Romance,Oliver James,Raise Your Voice,Jason Ritter,Sean McNamara Rebecca De Mornay Family Music Romance Oliver James Jason Ritter
Joel Coen,Jeff Bridges,Comedy Crime,Philip Seymour Hoffman,The Big Lebowski,Steve Buscemi,Joel Coen Jeff Bridges Comedy Crime Philip Seymour Hoffman Steve Buscemi
Craig Brewer,Michael Raymond-James,Drama Music,Justin Timberlake,Black Snake Moan,S. Epatha Merkerson,Craig Brewer Michael Raymond-James Drama Music Justin Timberlake S. Epatha Merkerson
Ron Shelton,Dash Mihok,Crime Drama Romance Thriller,Khandi Alexander,Dark Blue,Michael Michele,Ron Shelton Dash Mihok Crime Drama Romance Thriller Khandi Alexander Michael Michele
Michael Winterbottom,Archie Panjabi,Biography Drama History Thriller War,Angelina Jolie Pitt,A Mighty Heart,Dan Futterman,Michael Winterbottom Archie Panjabi Biography Drama History Thriller War Angelina Jolie Pitt Dan Futterman
David Raynr,Jodi Lyn O'Keefe,Comedy Drama Romance,James Franco,Whatever It Takes,Marla Sokoloff,David Raynr Jodi Lyn O'Keefe Comedy Drama Romance James Franco Marla Sokoloff
Mort Nathan,Lin Shaye,Comedy,Vivica A. Fox,Boat Trip,Bob Gunton,Mort Nathan Lin Shaye Comedy Vivica A. Fox Bob Gunton
Oliver Parker,Tom Wilkinson,Comedy Drama Romance,Colin Firth,The Importance of Being Earnest,Rupert Everett,Oliver Parker Tom Wilkinson Comedy Drama Romance Colin Firth Rupert Everett
Dan Curtis,Campbell Scott,Fantasy Romance,Jennifer Jason Leigh,The Love Letter,Estelle Parsons,Dan Curtis Campbell Scott Fantasy Romance Jennifer Jason Leigh Estelle Parsons
Wil Shriner,Neil Flynn,Adventure Comedy Family,Logan Lerman,Hoot,Tim Blake Nelson,Wil Shriner Neil Flynn Adventure Comedy Family Logan Lerman Tim Blake Nelson
Martin McDonagh,Anna Madeley,Comedy Crime Drama,Elizabeth Berrington,In Bruges,Eric Godon,Martin McDonagh Anna Madeley Comedy Crime Drama Elizabeth Berrington Eric Godon
Tina Gordon Chism,S. Epatha Merkerson,Comedy Romance,Tyler James Williams,Peeples,Diahann Carroll,Tina Gordon Chism S. Epatha Merkerson Comedy Romance Tyler James Williams Diahann Carroll
Peter Cattaneo,Bradley Cooper,Comedy Music,Emma Stone,The Rocker,Josh Gad,Peter Cattaneo Bradley Cooper Comedy Music Emma Stone Josh Gad
Vicky Jenson,Zach Gilford,Comedy Romance,J.K. Simmons,Post Grad,Bobby Coleman,Vicky Jenson Zach Gilford Comedy Romance J.K. Simmons Bobby Coleman
Gus Van Sant,Hal Holbrook,Drama,Matt Damon,Promised Land,Terry Kinney,Gus Van Sant Hal Holbrook Drama Matt Damon Terry Kinney
Woody Allen,Michael McKean,Comedy Romance,Larry David,Whatever Works,Conleth Hill,Woody Allen Michael McKean Comedy Romance Larry David Conleth Hill
Mary Lambert,Susan Ward,Drama Mystery Thriller,Matthew Settle,The In Crowd,A.J. Buckley,Mary Lambert Susan Ward Drama Mystery Thriller Matthew Settle A.J. Buckley
Tommy Lee Jones,Dwight Yoakam,Adventure Crime Drama Mystery Western,Levon Helm,Three Burials,Guillermo Arriaga,Tommy Lee Jones Dwight Yoakam Adventure Crime Drama Mystery Western Levon Helm Guillermo Arriaga
Peter Kassovitz,Mark Margolis,Drama War,Robin Williams,Jakob the Liar,Michael Jeter,Peter Kassovitz Mark Margolis Drama War Robin Williams Michael Jeter
Shane Black,Corbin Bernsen,Comedy Crime Mystery,Robert Downey Jr.,Kiss Kiss Bang Bang,Larry Miller,Shane Black Corbin Bernsen Comedy Crime Mystery Robert Downey Jr. Larry Miller
Rodman Flender,Fred Willard,Comedy Fantasy Horror Thriller,Vivica A. Fox,Idle Hands,Elden Henson,Rodman Flender Fred Willard Comedy Fantasy Horror Thriller Vivica A. Fox Elden Henson
David Lynch,Robert Forster,Drama Mystery Thriller,Naomi Watts,Mulholland Drive,Laura Harring,David Lynch Robert Forster Drama Mystery Thriller Naomi Watts Laura Harring
Katja von Garnier,Agnes Bruckner,Drama Fantasy Horror Romance,Olivier Martinez,Blood and Chocolate,Chris Geere,Katja von Garnier Agnes Bruckner Drama Fantasy Horror Romance Olivier Martinez Chris Geere
Woody Allen,Naomi Watts,Comedy Drama Romance,Anthony Hopkins,You Will Meet a Tall Dark Stranger,Ewen Bremner,Woody Allen Naomi Watts Comedy Drama Romance Anthony Hopkins Ewen Bremner
Mark Romanek,Charlie Rowe,Drama Romance Sci-Fi,Andrew Garfield,Never Let Me Go,Charlotte Rampling,Mark Romanek Charlie Rowe Drama Romance Sci-Fi Andrew Garfield Charlotte Rampling
Brad Anderson,Eduardo Noriega,Crime Drama Mystery Thriller,Thomas Kretschmann,Transsiberian,Mac McDonald,Brad Anderson Eduardo Noriega Crime Drama Mystery Thriller Thomas Kretschmann Mac McDonald
Michael Chapman,Pamela Reed,Adventure Drama Fantasy,Curtis Armstrong,The Clan of the Cave Bear,Mike Muscat,Michael Chapman Pamela Reed Adventure Drama Fantasy Curtis Armstrong Mike Muscat
Antonio Banderas,Elizabeth Perkins,Comedy Crime Drama,Meat Loaf,Crazy in Alabama,Noah Emmerich,Antonio Banderas Elizabeth Perkins Comedy Crime Drama Meat Loaf Noah Emmerich
Michael Haneke,Siobhan Fallon Hogan,Crime Drama Horror Thriller,Naomi Watts,Funny Games,Brady Corbet,Michael Haneke Siobhan Fallon Hogan Crime Drama Horror Thriller Naomi Watts Brady Corbet
Khalil Sullins,Kalim Chandler,Drama Sci-Fi Thriller,Thomas Stroppel,Listening,Amber Marie Bollinger,Khalil Sullins Kalim Chandler Drama Sci-Fi Thriller Thomas Stroppel Amber Marie Bollinger
Atom Egoyan,Elaine Cassidy,Drama Thriller,Bob Hoskins,Felicia's Journey,Gerard McSorley,Atom Egoyan Elaine Cassidy Drama Thriller Bob Hoskins Gerard McSorley
Fritz Lang,Gustav Fröhlich,Drama Sci-Fi,Brigitte Helm,Metropolis,Rudolf Klein-Rogge,Fritz Lang Gustav Fröhlich Drama Sci-Fi Brigitte Helm Rudolf Klein-Rogge
Pierre Morel,Cyril Raffaelli,Action Crime Thriller,David Belle,District B13,Dany Verissimo-Petit,Pierre Morel Cyril Raffaelli Action Crime Thriller David Belle Dany Verissimo-Petit
Gary Fleder,Bill Cobbs,Crime Drama,Steve Buscemi,Things to Do in Denver When You're Dead,Treat Williams,Gary Fleder Bill Cobbs Crime Drama Steve Buscemi Treat Williams
Hsiao-Hsien Hou,Chen Chang,Action Drama,Qi Shu,The Assassin,Satoshi Tsumabuki,Hsiao-Hsien Hou Chen Chang Action Drama Qi Shu Satoshi Tsumabuki
Gregor Jordan,Scott Glenn,Comedy Crime Drama Thriller War,Dean Stockwell,Buffalo Soldiers,Leon,Gregor Jordan Scott Glenn Comedy Crime Drama Thriller War Dean Stockwell Leon
Andrey Zvyagintsev,Vladimir Garin,Drama Mystery Thriller,Konstantin Lavronenko,The Return,Nataliya Vdovina,Andrey Zvyagintsev Vladimir Garin Drama Mystery Thriller Konstantin Lavronenko Nataliya Vdovina
Tony Jaa,Petchtai Wongkamlao,Action,Nirut Sirichanya,Ong-bak 2,Sarunyu Wongkrachang,Tony Jaa Petchtai Wongkamlao Action Nirut Sirichanya Sarunyu Wongkrachang
Neil Marshall,JJ Feild,Action Adventure Drama History Thriller War,Michael Fassbender,Centurion,Dave Legeno,Neil Marshall JJ Feild Action Adventure Drama History Thriller War Michael Fassbender Dave Legeno
Russell Mulcahy,Gina Bellman,Action Drama Thriller,Christopher Heyerdahl,Silent Trigger,Conrad Dunn,Russell Mulcahy Gina Bellman Action Drama Thriller Christopher Heyerdahl Conrad Dunn
Ryûhei Kitamura,Brooke Shields,Fantasy Horror Mystery,Bradley Cooper,The Midnight Meat Train,Leslie Bibb,Ryûhei Kitamura Brooke Shields Fantasy Horror Mystery Bradley Cooper Leslie Bibb
Darrell Roodt,Wendy Crewson,Biography Drama History,Jennifer Hudson,Winnie Mandela,Aubrey Poo,Darrell Roodt Wendy Crewson Biography Drama History Jennifer Hudson Aubrey Poo
Dito Montiel,Al Pacino,Crime Drama Thriller,Channing Tatum,The Son of No One,Tracy Morgan,Dito Montiel Al Pacino Crime Drama Thriller Channing Tatum Tracy Morgan
Stefan Ruzowitzky,Udo Kier,Action Comedy Drama War,Eddie Izzard,All the Queen's Men,Edward Fox,Stefan Ruzowitzky Udo Kier Action Comedy Drama War Eddie Izzard Edward Fox
